month,imp_kwh,imp_amount_with_vat,exp_kwh,exp_amount_with_vat,solar_prod_kwh,solar_utilised_kwh,grid_and_solar_used_kwh,nettleie_fastledd,nettleie_energiledd,nettleie_exp,grid_kraft,grid_nett_energi,grid_total,grid_total_per_kwh,solar_lease_amt,blend_kraft,blend_nettleie,blend_total,blend_total_per_kwh,temp_ute_avg
1,3705.0,1283.601000000001,0.0,0.0,41.0,41.0,3746.0,178.5,1538.6865,-0.0,1297.8054914979766,1555.7138,3032.0192914979766,0.8094018396951352,784.0,1283.601000000001,1717.1865,3784.7875000000013,1.0103543780032038,-2.2
2,3169.0,1115.1420000000003,0.0,0.0,196.0,196.0,3365.0,178.5,1316.0857,-0.0,1184.1126001893344,1397.4845,2760.0971001893345,0.8202368796996536,784.0,1115.1420000000003,1494.5857,3393.7277000000004,1.0085372065378901,-2.1
3,2494.0,879.6720000000013,20.0,-20.0,620.0,600.0,3094.0,178.5,1035.7582,-0.436,1091.3011900561364,1284.9382,2554.7393900561365,0.8257076244525328,784.0,859.6720000000013,1213.8222,2857.4942000000015,0.9176281952472709,2.1
4,1616.0,558.8430000000008,233.0,-233.0,955.0,722.0,2338.0,178.5,671.1247999999999,-5.079400000000001,808.5240928217833,970.9714,1957.9954928217833,0.8374659935080339,784.0,325.84300000000076,844.5454,1954.3884000000007,0.7601666277712955,4.7
5,1238.0,423.8450000000003,502.0,-502.0,1101.0,599.0,1837.0,178.5,493.0954,-8.3834,628.9202463651055,731.6770999999999,1539.0973463651053,0.8378319795128499,784.0,-78.15499999999969,663.2119999999999,1369.0570000000002,0.585317229585293,10.7
6,835.0,234.5529999999999,467.0,-467.0,998.0,531.0,1366.0,178.5,332.5805,-7.7989,383.71185389221546,544.0778,1106.2896538922155,0.8098752956751212,784.0,-232.4470000000001,503.28159999999997,1054.8346,0.5754689579923622,14.3
7,539.0,165.36899999999986,717.0,-717.0,1179.0,462.0,1001.0,178.5,214.6837,-11.973899999999999,307.1138571428569,398.6983,884.3121571428569,0.8834287284144424,784.0,-551.6310000000001,381.2098,613.5787999999999,0.3571471478463329,16.0
8,975.0,305.101,387.0,-387.0,934.0,547.0,1522.0,178.5,388.3425,-6.462899999999999,476.2704841025641,606.2126,1260.9830841025641,0.8285039974392668,784.0,-81.899,560.3796,1262.4805999999999,0.6613308538501833,14.4
9,1335.0,470.5710000000003,134.0,-134.0,447.0,313.0,1648.0,178.5,531.7305,-2.2378,580.8996314606745,656.3983999999999,1415.7980314606743,0.8591007472455549,784.0,336.5710000000003,707.9927,1828.5637000000004,1.0261300224466894,11.3
10,1726.0,572.075,112.0,-112.0,371.0,259.0,1985.0,178.5,687.4658000000001,-1.8703999999999998,657.9193945538818,790.6255,1627.044894553882,0.8196699720674469,784.0,460.07500000000005,864.0954,2108.1704,1.005326847877921,6.7
11,2511.0,965.3939999999999,3.0,-3.0,105.0,102.0,2613.0,178.5,1042.8183,-0.06540000000000001,1004.6095268817203,1085.1788999999999,2268.28842688172,0.8680782345509837,784.0,962.3939999999999,1221.2529,2967.6468999999997,1.134421597859327,1.0
12,3262.0,1290.805000000013,0.0,0.0,6.0,6.0,3268.0,178.5,1354.7086000000002,-0.0,1293.1792581238633,1357.2004000000002,2828.8796581238635,0.8656302503438995,784.0,1290.805000000013,1533.2086000000002,3608.013600000013,1.10404332925337,-2.2
